Begin Time - ss.msec,End Time - ss.msec,Common Ground
22.14,24.27,S0: STATEMENT(red = 10)
22.14,24.27,ACCEPT(S0)
61.74,63.4,S1: STATEMENT(red = blue)
61.74,63.4,ACCEPT(S1)
63.51,65.73,ACCEPT(S1)
77.85,79.58,ACCEPT(S1)
96.66,97.83,S2: STATEMENT(green = red + blue)
96.66,97.83,ACCEPT(S2)
103.33,105.99,S3: STATEMENT(red = 10 and blue = 10)
103.33,105.99,ACCEPT(S3)
108.23,111.27,S4: STATEMENT(green != purple)
108.23,111.27,ACCEPT(S4)
130.26,133.35,S5: STATEMENT(green = 20 and blue = 10)
130.26,133.35,ACCEPT(S5)
133.38,135.67,S6: STATEMENT(purple = 30)
133.38,135.67,ACCEPT(S6)
135.71,136.79,ACCEPT(S6)
160.22,164.84,S7: STATEMENT(yellow = purple + green)
160.22,164.84,ACCEPT(S7)
168.42,170.83,S8: STATEMENT(purple = 30 and yellow = 50)
168.42,170.83,ACCEPT(S8)
171.75,173.75,ACCEPT(S8)
